original_overlay_path,archived_overlay_path,relative_file_path,size_bytes,sha256,phase25_relationship,source_verified,archive_verified
stock-backtester/market_intelligence_v2_7_5_overlay,stock_backtester_root/market_intelligence_v2_7_5_overlay,src/backtester/intelligence/contextual_event_extractor.py,23227,e76a1105dd8a810a1c55eeb203fd357708cea73d4b94fa210cde652292d115eb,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_5_overlay,stock_backtester_root/market_intelligence_v2_7_5_overlay,src/backtester/intelligence/event_schemas.py,1470,63e8c76f267ab67805e3eeeb8d6ab489946c114b2a2c01de2c629e4d688a8308,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_5_overlay,stock_backtester_root/market_intelligence_v2_7_5_overlay,src/backtester/intelligence/semantic_event_classifier.py,7939,d79fc53c5ab820e5aef5d0ba7aa82ed06fe78f58a42fe915332e2dda14121708,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_overlay,stock_backtester_root/market_intelligence_v2_7_overlay,docs/market_intelligence_v2_7.md,1460,016a90ba173648d8dc243cd327d1897b8882034bfb350b02667ed361a174d876,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_7_overlay,stock_backtester_root/market_intelligence_v2_7_overlay,scripts/extract_contextual_events.py,4864,bdb71282bc0fd0179cfffe81aa382609971040e975046af4de9fb3b22e196fcf,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_overlay,stock_backtester_root/market_intelligence_v2_7_overlay,scripts/run_nlp_event_smoke.py,3184,6ce519a69347f6e7e7b0bc7d813faabb4269f3b6361f5a985f71ee11f283cd89,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_overlay,stock_backtester_root/market_intelligence_v2_7_overlay,src/backtester/intelligence/contextual_event_extractor.py,16728,78f492bc6243cf898d8bc120ab1e2ea805d723838de98fb4024a7a8f438361e0,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_overlay,stock_backtester_root/market_intelligence_v2_7_overlay,src/backtester/intelligence/event_schemas.py,1335,d7c93d16da920c1a3bea63e91205382f29b1128ce000683e940ff5cfe2f0f70b,DIFFERENT,yes,yes
stock-backtester/market_intelligence_v2_7_overlay,stock_backtester_root/market_intelligence_v2_7_overlay,src/backtester/intelligence/semantic_event_classifier.py,7939,d79fc53c5ab820e5aef5d0ba7aa82ed06fe78f58a42fe915332e2dda14121708,IDENTICAL,yes,yes
stock-backtester/market_intelligence_v2_8_1_overlay,stock_backtester_root/market_intelligence_v2_8_1_overlay,docs/market_intelligence_v2_8_1.md,605,519f2f1b5c6b2938b7804cfa522361fa825244f7b9fa501b759efc996af9db65,IDENTICAL,yes,yes
